title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Vanilla Sky,movie,"Fantasy, Mystery, Romance",2001,6.9,292959
Memoirs of a Geisha,movie,"Drama, Romance",2005,7.3,166092
The Sea Inside,movie,"Biography, Drama",2004,8,86717
"Manta, Manta",movie,Comedy,1991,5.7,6037
Away from Her,movie,Drama,2006,7.5,23373
Sweet November,movie,"Drama, Romance",2001,6.7,96525
Sep-11,movie,Drama,2002,6.8,6018
Hulk,movie,"Action, Sci-Fi",2003,5.6,284681
The Amazing Spider-Man,movie,"Action, Sci-Fi",2012,6.9,727807
Stomp the Yard,movie,"Drama, Music, Romance",2007,5.4,26799
The Others,movie,"Horror, Mystery, Thriller",2001,7.6,407402
Me and My Sister,movie,"Comedy, Drama",2004,6.4,1913
An Unfinished Life,movie,"Drama, Family, Romance",2005,7,34828
Crank,movie,"Action, Crime, Thriller",2006,6.9,269879
Zodiac,movie,"Crime, Drama, Mystery",2007,7.7,630058
The Butterfly Effect,movie,"Drama, Sci-Fi, Thriller",2004,7.6,537679
Enough,movie,"Crime, Drama, Thriller",2002,5.8,49370
A Perfect Murder,movie,"Crime, Drama, Thriller",1998,6.6,94899
Alexander,movie,"Action, Biography, Drama",2004,5.6,179561
Bra Boys,movie,"Documentary, Sport",2007,6.2,1406
The Constant Gardener,movie,"Drama, Mystery, Romance",2005,7.3,151996
Paranoid Park,movie,"Crime, Drama, Mystery",2007,6.6,32359
Death Proof,movie,"Drama, Thriller",2007,7,322771
Lara Croft: Tomb Raider,movie,"Action, Adventure, Fantasy",2001,5.8,224191
Lara Croft: Tomb Raider - The Cradle of Life,movie,"Action, Adventure, Fantasy",2003,5.5,147931
"4 Months, 3 Weeks and 2 Days",movie,Drama,2007,7.9,64502
Persepolis,movie,"Animation, Biography, Drama",2007,8,102447
Secret Sunshine,movie,Drama,2007,7.5,10104
The Wedding Planner,movie,"Comedy, Romance",2001,5.4,89552
Hard Target,movie,"Action, Crime, Thriller",1993,6.2,58717
Mr. Deeds,movie,"Comedy, Romance",2002,5.8,157320
The Patriot,movie,"Action, Drama, History",2000,7.2,302436
A Few Days with Me,movie,"Comedy, Drama, Romance",1988,7,1268
Training Day,movie,"Crime, Drama, Thriller",2001,7.8,492399
The Whole Nine Yards,movie,"Comedy, Crime",2000,6.7,132014
Halloween,movie,Horror,2007,6,134534
Romeo Must Die,movie,"Action, Crime, Thriller",2000,6.1,75192
Requiem,movie,"Action, Crime, Horror",2001,5,557
American Pie,movie,Comedy,1999,7,448398
Rush Hour,movie,"Action, Comedy, Crime",1998,7,308792
The Perfect Storm,movie,"Action, Adventure, Drama",2000,6.5,182831
The Storm Riders,movie,"Action, Adventure, Fantasy",1998,6.3,4220
Kiss of the Dragon,movie,"Action, Crime, Thriller",2001,6.6,67946
The Glass House,movie,"Crime, Drama, Mystery",2001,5.8,41020
Heartbreak Hotel,movie,"Comedy, Drama, Music",2006,5.4,1706
Unfaithful,movie,"Drama, Romance, Thriller",2002,6.7,102228
Eastern Promises,movie,"Crime, Drama, Thriller",2007,7.6,269442
Lola,movie,"Drama, Romance",1981,7.4,7066
The Golden Compass,movie,"Adventure, Family, Fantasy",2007,6.1,199950
Mr. Magorium's Wonder Emporium,movie,"Comedy, Family, Fantasy",2007,6.2,48397
